TYPE,NAME
AVG,페르난데스
AVG,민병헌
AVG,김헌곤
AVG,이정후
AVG,김태균
AVG,안치홍
AVG,강백호
AVG,채은성
AVG,양의지
AVG,고종욱
AVG,임동규
H,페르난데스
H,전준우
H,러프
H,이정후
H,정은원
H,최형우
H,로하스
H,이천웅
H,박민우
H,고종욱
H,임동규
HR,오재일
HR,전준우
HR,러프
HR,박병호
HR,이성열
HR,최형우
HR,로하스
HR,유강남
HR,양의지
HR,로맥
HR,임동규
RBI,오재일
RBI,이대호
RBI,러프
RBI,샌즈
RBI,이성열
RBI,최형우
RBI,로하스
RBI,김현수
RBI,박석민
RBI,최정
RBI,임동규
